Company,Product,TypeName,Inches,ScreenResolution,Ram,OpSys,Cpu Brand,Cpu Model,Cpu Rate,HD,SSD,HDD,Flash Storage,Hybrid,Gpu Brand,Gpu Model,Unnamed: 17,Price_euros
HP,250 G6,Notebook,15.6,Full HD 1920x1080,8GB,No OS,Intel,Core i5 7200U,2.5GHz,256.0,256,0.0,0.0,0.0,Intel,HD Graphics 620,,575.0
Acer,Aspire 3,Notebook,15.6,1366x768,4GB,Windows 10,AMD,A9-Series 9420,3GHz,500.0,0,500.0,0.0,0.0,AMD,Radeon R5,,400.0
Asus,ZenBook UX430UN,Ultrabook,14.0,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512.0,512,0.0,0.0,0.0,Nvidia,GeForce MX150,,1495.0
Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256.0,256,0.0,0.0,0.0,Intel,UHD Graphics 620,,770.0
HP,250 G6,Notebook,15.6,1366x768,4GB,No OS,Intel,Core i5 7200U,2.5GHz,500.0,0,500.0,0.0,0.0,Intel,HD Graphics 620,,393.9
HP,250 G6,Notebook,15.6,Full HD 1920x1080,4GB,No OS,Intel,Core i3 6006U,2GHz,500.0,0,500.0,0.0,0.0,Intel,HD Graphics 520,,344.99
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 6006U,2GHz,256.0,256,0.0,0.0,0.0,AMD,Radeon R5 M430,,498.9
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256.0,256,0.0,0.0,0.0,AMD,Radeon R5 M430,,745.0
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,8GB,No OS,Intel,Core i3 7100U,2.4GHz,1.0,0,1.0,0.0,0.0,Nvidia,GeForce 940MX,,499.0
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,128.0,128,0.0,0.0,0.0,Intel,UHD Graphics 620,,979.0
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7300HQ,2.5GHz,128.0,128,1.0,0.0,0.0,Nvidia,GeForce GTX 1050,,999.0
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256.0,256,0.0,0.0,0.0,Intel,UHD Graphics 620,,819.0
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256.0,256,0.0,0.0,0.0,Intel,HD Graphics 620,,659.0
Dell,Inspiron 3567,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i3 6006U,2GHz,1.0,0,1.0,0.0,0.0,Intel,HD Graphics 520,,418.64
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256.0,256,0.0,0.0,0.0,AMD,Radeon 530,,800.0
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,1.0,0,1.0,0.0,0.0,Nvidia,GeForce 930MX,,896.0
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,Full HD 1920x1080,4GB,Windows 10,AMD,A6-Series 9220,,500.0,0,500.0,0.0,0.0,AMD,Radeon 530,,439.0
Dell,XPS 13,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512.0,512,0.0,0.0,0.0,Intel,UHD Graphics 620,,1869.0
Acer,Aspire 3,Notebook,15.6,1366x768,4GB,Linux,Intel,Core i3 7130U,2.7GHz,1.0,0,1.0,0.0,0.0,Intel,HD Graphics 620,,367.0
Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,128.0,128,1.0,0.0,0.0,AMD,Radeon 530,,979.0
